,FeedS,FeedI
0.0,0.0,0.0
0.5,0.1,0.05
1.0,0.10512710963760241,0.052563554818801206
1.5,0.11051709180756478,0.05525854590378239
2.0,0.11618342427282831,0.058091712136414154
2.5,0.122140275816017,0.0610701379080085
3.0,0.12840254166877416,0.06420127083438708
3.5,0.13498588075760032,0.06749294037880016
4.0,0.14190675485932575,0.07095337742966287
4.5,0.14918246976412705,0.07459123488206353
5.0,0.1568312185490169,0.07841560927450845
5.5,0.16487212707001284,0.08243606353500642
6.0,0.17332530178673955,0.08666265089336977
6.5,0.18221188003905092,0.09110594001952546
7.0,0.19155408290138964,0.09577704145069482
7.5,0.20137527074704767,0.10068763537352383
8.0,0.21170000166126748,0.10585000083063374
8.5,0.2225540928492468,0.1112770464246234
9.0,0.23396468519259914,0.11698234259629957
9.5,0.245960311115695,0.1229801555578475
